dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
310,0.00021988307707943022,0.00037503440398722887,9.016654871629726e-07,2.613696096886997e-06,0.00021898146951571107,0.00037452226388268173,203
311,1.5199119843600783e-05,3.0571496608899906e-05,3.418350900119549e-07,1.1317840744595742e-06,1.485729262640234e-05,3.0131310268188827e-05,203
312,7.355114348683855e-07,1.966095851457794e-06,1.3011134797125123e-05,4.489020648179576e-05,-1.227562279382255e-05,4.4354073907015845e-05,203
313,6.034278499100765e-07,1.4254000006985734e-06,0.00022779597202315927,0.000514404324349016,-0.00022719238768331707,0.0005141583969816566,203
314,4.675435718581866e-07,1.1068988214901765e-06,0.0015907546039670706,0.003255232237279415,-0.0015902871964499354,0.003254955867305398,203
315,1.0117159945366438e-06,2.3188763407233637e-06,0.017896007746458054,0.023864062502980232,-0.01789499633014202,0.023863904178142548,203
316,3.4476050814191694e-07,9.437696917302674e-07,0.03313080221414566,0.046971842646598816,-0.0331304594874382,0.04697175323963165,203
317,0.015034271404147148,0.01703898422420025,3.0521273401973303e-06,9.99112944555236e-06,0.015031217597424984,0.01703822799026966,203
318,6.544027542076947e-07,1.6895627368285204e-06,0.006937409285455942,0.007322516292333603,-0.006936756428331137,0.007322449237108231,203
319,0.03636666387319565,0.029222941026091576,0.0001762331958161667,0.0003144953807350248,0.036190424114465714,0.029232151806354523,203
320,3.644734897534363e-05,6.349386239890009e-05,0.03514089435338974,0.0521588996052742,-0.03510443493723869,0.052159253507852554,203
321,3.0927531042834744e-05,5.973063161945902e-05,0.0002925884909927845,0.00039206299697980285,-0.00026166089810431004,0.0003963797353208065,203
322,0.003339704591780901,0.007517640478909016,0.0010639624670147896,0.0018879534909501672,0.002275741659104824,0.007931847125291824,203
323,6.43812381895259e-06,1.5974432244547643e-05,0.00011878268560394645,0.00017229007789865136,-0.00011234456906095147,0.00016382164903916419,203
324,0.00026116875233128667,0.0007105756085366011,0.0002258169697597623,0.00028008146909996867,3.535176074365154e-05,0.000748282007407397,203
325,0.0006497940048575401,0.001086583361029625,0.00012993993004783988,0.0003824892046395689,0.0005198539583943784,0.0011763061629608274,203
326,0.00017030074377544224,0.00033447062014602125,0.0010233421344310045,0.0015335091156885028,-0.0008530411869287491,0.0015678370837122202,203
327,2.615824996610172e-05,4.526226257439703e-05,1.4972692952142097e-05,3.510312672005966e-05,1.1185554285475519e-05,5.545160820474848e-05,203
328,0.003586897626519203,0.005830799229443073,0.0004539772344287485,0.0008275815052911639,0.003132919315248728,0.006017668172717094,203
329,0.00036405082209967077,0.0005383298848755658,2.444428355374839e-05,6.477958959294483e-05,0.00033960642758756876,0.000507660151924938,203
330,5.7850469602271914e-05,0.00010470679262652993,5.694025276170578e-06,1.5278070350177586e-05,5.215643977862783e-05,0.0001001632772386074,203
331,1.8429066130920546e-06,3.5983798625238705e-06,3.594876943679992e-06,1.053448340826435e-05,-1.7519691937195603e-06,9.038305506692268e-06,203
332,0.00030767146381549537,0.0005169445648789406,8.421831125815515e-07,2.4595899503765395e-06,0.0003068293444812298,0.0005160928703844547,203
333,8.134328481901321e-07,2.0334468899818603e-06,1.4088126590650063e-05,2.4501159714418463e-05,-1.3274689990794286e-05,2.374958603468258e-05,203
334,8.537718372281233e-07,2.3560673980682623e-06,1.6386333072659909e-06,4.616537353285821e-06,-7.848616405681241e-07,4.04154661737266e-06,203
335,8.342124147020513e-07,2.0486165794864064e-06,4.978975312042166e-07,1.741683036016184e-06,3.363148266544158e-07,1.9875753878295654e-06,203
336,8.003531775102601e-07,2.4624707748444052e-06,8.254569365817588e-07,2.7499295356392395e-06,-2.510380170406279e-08,3.0148844416544307e-06,203
337,1.2540480156530975e-06,3.1485972158407094e-06,9.522945561002416e-07,2.465737452439498e-06,3.0175377219165966e-07,3.081930799453403e-06,203
338,9.102799936044903e-07,1.8269157635586453e-06,4.0081823726723087e-07,1.2794641861546552e-06,5.094615858070028e-07,1.6587355275987647e-06,203
339,1.1816069900305592e-06,2.6626826183928642e-06,5.981173103464243e-07,2.098972572639468e-06,5.834898502143915e-07,2.7891010176972486e-06,203
340,1.0210439995717024e-06,2.4074004159047036e-06,0.00011992159852525219,0.00026198968407697976,-0.00011890055611729622,0.00026150105986744165,203
341,0.0033679460175335407,0.007036973722279072,4.539440851658583e-06,1.4006250239617657e-05,0.003363407216966152,0.007035149727016687,203
342,0.0010438186582177877,0.001862099627032876,1.2247170161572285e-05,2.5525587261654437e-05,0.0010315715335309505,0.00186121033038944,203
